"count";"username";"datetime";"text"
"1";"olikmorozik";"08:18:00 19-04-2020";"Участвую"
"2";"kevgenia445";"08:32:42 19-04-2020";"Участвую👋😃"
"3";"poliakovatatayna";"08:41:00 19-04-2020";"Участвую"
"4";"poliakovatatayna";"08:41:47 19-04-2020";"🎉"
"5";"poliakovatatayna";"08:42:04 19-04-2020";"🎈Учавствую"
"6";"anyalp92";"08:46:50 19-04-2020";"Участвую🤗"
"7";"happy__grandma1952";"09:00:15 19-04-2020";"❤️"
"8";"happy__grandma1952";"09:01:04 19-04-2020";"😍😍😍"
"9";"shevchenkolenuska";"09:04:22 19-04-2020";"🎁🎁"
"10";"shevchenkolenuska";"09:05:27 19-04-2020";"Готово 🍀🍀🍀"
"11";"shevchenkolenuska";"09:05:30 19-04-2020";"Участвую"
"12";"shevchenkolenuska";"09:05:36 19-04-2020";"Удача приди))"
"13";"nadejda_gurchenkova";"09:11:54 19-04-2020";"😉"
"14";"medeshi23";"09:22:57 19-04-2020";"Учавствую 😍"
"15";"happy__grandma1952";"09:52:40 19-04-2020";"😍😍"
"16";"happy__grandma1952";"09:52:42 19-04-2020";"Участвую"
"17";"happy__grandma1952";"09:52:44 19-04-2020";"😍😍😍"
"18";"happy__grandma1952";"09:52:45 19-04-2020";"👏👏👏"
"19";"lena04_25";"09:56:39 19-04-2020";"Участвую 🙏 всем удачи🔥"
"20";"niqitos";"10:03:07 19-04-2020";"🦊"
"21";"happy_family_1990";"11:59:01 19-04-2020";"Участвую"
"22";"happy_family_1990";"12:01:40 19-04-2020";"❤️❤️❤️"
"23";"happy_family_1990";"12:26:09 19-04-2020";"😍😍"
"24";"alexandr26.03.90";"12:29:16 19-04-2020";"Готово"
"25";"alexandr26.03.90";"12:39:32 19-04-2020";"🔥🔥🔥"
"26";"alexandr26.03.90";"12:39:34 19-04-2020";"🔥🔥🔥🔥"
"27";"alexandr26.03.90";"12:39:41 19-04-2020";"Участвую"
"28";"alexandr26.03.90";"12:39:44 19-04-2020";"Участвую"
